id,sig_id,design_group_id,tags,,,
1592,13,,"{""science education"",""science  social impact"",""technology integration"",technology,""elementary education"",robotics,games,""media literacy"",""digital literacy"",programming}",,,
3,,,,,,
940,18,,"{""computer science"",mathematics,""educational technology""}",,,
29,,,"{""teacher training"",""technical education"",""elementary reading"",""elementary writing"",""elementary arithmetic""}",,,
1453,17,,,,,
2,,,{neuro},,,
5,,,"{""Primary Science"",""Primary Math"",Inquiry}",,,
74,,,"{biology,physiology,immunology,genetics,Epidemiology,""Public Health""}",,,
229,13,,"{Primary Year Program,""interactive whiteboard"",ipads,IB,inquiry,""primary science"",""primary years program"",""primary math"",""primary social studies"",reading,writing,assessment,""international school"",grade two,""new steam"",""private school"",english as second language,""technology integration"",""Project Arrow"",""Words Their Way"",""Reading Workshop"",""Writing Workshop""}",,,
1670,6,,"{""portuguese language"",""second languages"",europe,brazil,linguistics,culture,vocabulary,grammar,""young adults""}",,,
353,15,,,,,
36,5,,,,,
1648,18,,"{""ICT MONITORING EVALUATION  NOT FOR PROFIT ADMINISTRATION"",TRAINING,""RESEARCH DOCUMENTATION""}",,,
17,,,"{online,elearning,""embed code"",interactive,activities}",,,
324,5,,"{electricity,electronics,""electrical measurement devices"",""electrical machines"",""electrical circuits"",""Home Automation Systems""}",,,
210,15,38,{"special education"},,,
1089,18,,"{adolescent,""middle school"",""social  emotional learning""}",,,
114,,,"{""Foreign language"",Polish,Pol,english as second language}",,,
7,,,"{inquiry,library}",,,
1590,18,,"{mathematics,chemistry,mediation,materials,management,""problem solving"",""blended learning"",psychology}",,,
8,,,"{""Instructional Coach"",Reading,Writing,""Best Practices"",Assessment}",,,
519,18,,"{biochemistry,genetics,biology}",,,
167,13,,{4},,,
11,,,{Computing},,,
1599,18,,"{""higher education"",""online college advisor""}",,,
1217,4,,{"special education"},,,
16,,,{"Educational Supervisor"},,,
14,,,{"English language"},,,
24,,,"{urban,STEAM,STEM,""Technology Integration""}",,,
15,,,"{""primary math"",assessment,""primary science"",""best practices"",computers,decimals,environment,fractions,graphing,""human organ systems"",health,inquiry,movement,""planets solar system"",plants,reading,space,""water cycle"",writing}",,,
577,,,{math},,,
270,,,,,,
113,2,,"{""engineering contests"",""science contests"",""modern physics"",""science fairs"",teamwork,design}",,,
1189,18,,"{education,""emotional intelligence"",""educational technology"",""higher education"",""educator preparation""}",,,
22,4,,{"History from Middle Age Contemporary"},,,
1299,5,,"{""environmental engineering"",""environmental issues"",math educator,biology,""geometrical metrology"",management,""teaching with technology"",""teacher training"",""teacher training education active methods problem based learning creativity innovation collaborative learning""}",,,
21,18,,"{""Higher education"",""teacher prep"","",elementary education"","",general special education"","",technology"",""online teaching""}",,,
305,2,,"{biology,biochemistry,science,""earth science"",""environmental management""}",,,
44,,,{Composition Literature},,,
27,,,,,,
51,,,{"Elementary Science Specialist"},,,
199,,,"{""english as foreign language"",""high school"",teenagers,adults}",,,
1401,13,3,"{""self education"",""self knowledge"",inquiry}",,,
1519,18,73,"{bible,religion,history,""educational technology"",google}",,,
145,,,"{language,literature,art,""critical thinking"",ICT}",,,
492,1,,,,,
59,,,"{""english as foreign language"",""english as second language"",english as second language,""higher education""}",,,
35,,,,,,
28,,,"{""social scientific issues"",""environmental issues"",""teacher collaboration"",networks,""K twelve alignment""}",,,
58,,,"{""food science"",""food technology"",""food processing"",""food safety"",""food quality""}",,,
103,5,,"{programming,astronomy,maths,design}",,,
26,,,"{Shakespeare,""Economic Management Science"",Poetry,Government,""English Language structure"",""Visual literacy"",Advertising,""Film Study"",Hiv,TB,STDs,""Human Rights  Responsibilities"",Novels,""Listening skills"",Comprehension,""Public speaking"",careers,""Study skills"",""Time management"",""Thinking skills"",""World work"",""Financial literacy"",Accountancy}",,,
1362,6,,"{""software engineering"",programming}",,,
30,,,"{""community college"",""Academic english as second language""}",,,
1314,18,,"{""web tools"",Portafolio,Leadership,""Virtual education"",""Web Quest"",online learning}",,,
40,,,"{Biology,TECHNOLOGY,evolution,""earth science""}",,,
50,2,,,,,
1081,1,,"{""teacher training"",""algebra, geometry, probability"",resource}",,,
75,,,"{""private school"",""combination class"",""New STEAM"",""computer teacher"",""interactive whiteboard""}",,,
1181,18,,"{communication,""information technology"",""information literacy"",""web design"",""teacher training"",editing,""technical education"",""teaching undergraduates"",""teacher training education active methods problem based learning creativity innovation collaborative learning"",""teacher training institute""}",,,
1226,13,,"{elementary,""instructional coach"",assessment,""learning  the brain""}",,,
1432,6,,"{""game design"",design}",,,
106,,,"{""English as Foreign Language"",""English for Specific Purposes"",""English Language Professional""}",,,
1545,6,,"{""foreign languages"",""english as foreign language"",""english as second language"",""french as foreign language"",""cultural studies"",culture}",,,
635,6,,{tags},,,
112,,,"{languages,literature,writing}",,,
142,2,,"{""seventh grade"",""science biology physics chemistry environmental science"",""technology integration"",literacy,writing}",,,
138,,,"{physiology,""chemical reactions  their applications"",biochemistry}",,,
52,,,{"world languages"},,,
41,,,"{chemistry,maths,physics}",,,
65,,,"{""collaborative learning"",""teacher training"",problem based learning,innovation}",,,
95,,,"{philippines,""philippine history"",history,""asian cultures"",""philippine cultures"",language,asia,education,""educational technology""}",,,
42,,,"{""Web Design"",HTML,CSS,PHP,JavaScript,Programming,MySQL,""Visual Basic"",Database,WordPress,Ethics,Copyright,Contracts}",,,
67,,,"{physics,calculus,mechanics,vectors,heat,statistics}",,,
66,,,"{""Electronics Engineering"",""Microprocessor design"",""Digital systems design""}",,,
45,,,{music},,,
61,,,"{7,""Teacher training education active methods problem based learning creativity innovation collaborative learning"",""Teacher training"",education,""active methods"",problem based learning,creativity,innovation,""collaborative learning""}",,,
49,,,"{""english as second language"",""english language"",""high school"",teenagers,adults,""Russian language"",""communicative methods"",""New Headway""}",,,
54,,,{ten},,,
63,,,{"educational technology"},,,
190,13,,{"Upper Elementary"},,,
56,,,"{hospitality,""applied learning"",practical,""rooms division"",""front office""}",,,
55,18,,"{medicine,biology,biochemistry,immunology,""infectious disease"",bioinformatics,nursing,""community health""}",,,
86,,,{twenty},,,
87,,,"{""Academic Upgrading"",""College Prep"",""University Prep"",""Academic Career Entrance""}",,,
88,,,{Physics},,,
328,5,,"{mathematics,materials,computing,cad}",,,
1293,15,,"{spelling,maths}",,,
1298,4,,,,,
62,18,,"{Kindergarten,Preschool}",,,
69,,,,,,
91,,,"{""computer science"",maths,""primary science"",""primary math"",history,technology}",,,
116,,,"{math,algebra,geometry,science,technology,physics,mechanics}",,,
117,,,{"information technology"},,,
714,18,,"{""higher education"",""elementary writing"",""elementary subjects""}",,,
478,2,,"{science,physics,""physical science"",""8th grade"",history,""us history"",""history"",""twentieth century history"",""middle school"",chemistry}",,,
1109,5,,"{programming,multimedia}",,,
78,,,{"coastal navigation"},,,
131,,,"{""World History"",technology,argumentation,""critical thinking"",game}",,,
